word,word,sig
Ai,Weiwei,119.3
dauert,Tage,119.27
Tage,dauert,119.27
Stadt Frankfurt,Frankfurt,119.09
Frankfurt,Stadt Frankfurt,119.09
viel Geld,sehr viel,119.04
sehr viel,viel Geld,119.04
Jonathan Meese,Meese,118.93
Meese,Jonathan Meese,118.93
Meese,Jonathan,118.93
Jonathan,Meese,118.93
auch nicht,auch,118.86
auch,auch nicht,118.86
gibt es,Streit,118.67
Streit,gibt es,118.67
”,heißt,118.19
heißt,”,118.19
Tour de France,de,118.07
zwar,und zwar,118.07
und zwar,zwar,118.07
de,Tour de France,118.07
”,:,117.89
:,”,117.89
Steuern,zahlen,116.73
zahlen,Steuern,116.73
wurden,verletzt,116.33
verletzt,wurden,116.33
kam,heraus,116.16
heraus,kam,116.16
Viele,finden,116.15
finden,Viele,116.15
Welt-Krieg,2.,115.96
2.,Welt-Krieg,115.96
gibt,Streit,115.83
Streit,gibt,115.83
bedeutet,Das,115.56
Das,bedeutet,115.56
gekommen,sind,114.81
sind,gekommen,114.81
Die,:,114.58
:,Die,114.58
gesagt,dass,114.16
dass,gesagt,114.16
dass,glauben,113.86
glauben,dass,113.86
hat,bekommen,113.6
bekommen,hat,113.6
Ich,sagte,113.51
sagte,Ich,113.51
in ganz Deutschland,ganz Deutschland,113.47
ganz Deutschland,in ganz Deutschland,113.47
Goldenen Bären,Goldenen,113.27
Kinski,Klaus Kinski,113.27
Manuel Neuer,Manuel,113.27
Gerhard,Schröder,113.27
Manuel,Manuel Neuer,113.27
Klopp,Jürgen Klopp,113.27
Goldenen,Goldenen Bären,113.27
Jürgen Klopp,Klopp,113.27
Schröder,Gerhard,113.27
Klaus Kinski,Kinski,113.27
darf,nicht,113.16
nicht,darf,113.16
haben,die,112.89
die,haben,112.89
Koalition,Große,112.62
Große,Koalition,112.62
bekannt geworden,geworden,112.59
geworden,bekannt geworden,112.59
gehen,Straße,112.51
Straße,gehen,112.51
CDU,Parteien,112.18
Parteien,CDU,112.18
bestraft,bestraft werden,112.02
nennen,Doktor,112.02
Doktor,nennen,112.02
Goldenen,Bären,112.02
bestraft werden,bestraft,112.02
Bären,Goldenen,112.02
Richard,Wagner,111.86
Wagner,Richard,111.86
es,gegeben,111.57
gegeben,es,111.57
gehören,gehören zu,111.54
gehören zu,gehören,111.54
gestorben,ist,111.47
ist,gestorben,111.47
Regierung,neue,111.34
neue,Regierung,111.34
fest,noch nicht,111.25
noch nicht,fest,111.25
Ich,“,111.24
“,Ich,111.24
Obama,Präsident,110.95
